"id","x_avg","y_avg","z_avg","vb_avg","x_stddev","y_stddev","z_stddev","vb_stddev","x_var","y_var","z_var","vb_var","x_rms","y_rms","z_rms","vb_rms"
"1","100.262","146.457","257.983","-0.02576","10.4583","10.9292","14.8383","1.61639","109.377","119.448","220.175","2.61271","41.3575","34.48","44.675","5.1907"
"3","138.45","170.52","281.486","-0.02831","7.96218","11.2685","14.5779","1.31564","63.3963","126.98","212.515","1.73091","25.865","31.35","45.97","3.9675"
"2","112.144","155.351","276.737","0.00956","12.3824","15.1299","23.5696","1.58419","153.323","228.915","555.525","2.50966","34.49","49.275","67.2","4.71575"
"0","93.8047","138.356","247.359","-0.01144","6.65136","9.93498","10.7624","3.71717","44.2406","98.7038","115.83","13.8174","19.3045","27.69","28.405","10.2028"
"3","137.465","161.803","270.236","-0.01499","10.7249","9.83692","14.6601","1.25789","115.024","96.765","214.92","1.5823","45.553","37.755","51.16","3.4452"
"2","111.657","155.464","275.74","0.01187","11.7472","15.3786","21.2462","1.4106","137.998","236.503","451.4","1.9898","35.7895","49.655","64.14","4.60125"
"2","111.214","157.495","282.435","-0.0355","9.53746","13.3308","25.9399","1.50971","90.9631","177.71","672.88","2.27921","27.1665","42.335","69.185","4.52645"
"2","111.675","157.588","280.012","-0.02136","9.95242","13.1792","21.0575","1.45881","99.0506","173.693","443.42","2.12813","23.885","39.585","61.775","4.3172"
"2","112.941","156.002","272.465","0.05519","12.2888","15.1032","22.2572","1.32322","151.014","228.107","495.385","1.75092","33.2685","45.535","66.05","3.94455"
"0","96.1399","151.005","257.276","0.01466","6.61739","11.0795","11.9597","3.81124","43.7898","122.755","143.035","14.5255","20.145","27.84","36.27","11.11"
"2","112.592","158.422","278.645","-0.07034","11.57","15.0337","22.9285","1.4767","133.865","226.012","525.715","2.18065","34.3385","53.855","68.875","4.7845"
"0","94.6562","140.121","246.379","-0.02901","6.82626","10.6468","13.6636","3.7392","46.5978","113.355","186.695","13.9816","21.978","27.535","38.105","10.8519"
"3","137.858","165.939","278.974","-0.02786","8.70273","11.8983","16.6828","1.21004","75.7375","141.57","278.315","1.46419","31.59","31.35","51.24","3.207"
"0","94.8199","140.288","246.854","0.01088","7.04027","10.8141","11.8588","3.24375","49.5654","116.945","140.63","10.5219","22.586","31.655","36.96","9.79195"
"2","110.772","151.794","272.053","0.02181","9.39816","13.9638","21.7035","1.48445","88.3255","194.988","471.04","2.2036","26.0965","43.63","68.88","5.0609"
"3","138.85","164.618","273.305","-0.0186","9.65135","11.1549","14.8852","1.162","93.1487","124.433","221.57","1.35024","34.945","34.705","41.62","3.04965"
"0","95.2167","149.993","256.264","0.04307","5.96563","9.83743","10.8736","3.68121","35.5887","96.775","118.235","13.5513","19.078","27.155","27.645","12.73"
"2","114.151","159.715","279.242","-0.00038","10.0007","14.2673","21.4615","1.36567","100.015","203.555","460.595","1.86507","30.523","36.845","66.895","4.30035"
"0","97.4461","145.63","253.41","0.0087","7.02066","11.4463","11.8826","4.08706","49.2897","131.018","141.195","16.7041","19.4585","29.52","31.995","12.426"
"1","101.844","155.204","273.419","-0.01566","11.2342","11.9965","14.3159","1.36535","126.208","143.915","204.945","1.86418","45.248","32.95","42.61","3.83765"
"3","136.73","162.784","274.277","-0.00759","10.0594","11.4082","14.5241","1.22035","101.191","130.148","210.95","1.48926","38.46","35.7","38.105","3.01455"
"2","111.469","153.153","269.695","-0.02883","9.8515","14.6989","22.2681","1.372","97.0521","216.057","495.87","1.88239","25.564","45.46","59.64","3.6941"
"0","96.0302","141.699","251.907","0.00844","5.97109","10.3683","12","3.77714","35.6539","107.501","144","14.2668","16.6355","31.425","36.655","11.513"
"0","94.9579","152.016","261.671","0.02381","5.95577","9.19361","12.4079","3.97757","35.4712","84.5225","153.955","15.821","17.093","24.79","33.295","12.252"
"2","113.256","154.342","271.429","-0.02116","11.8379","15.5404","22.2309","1.36592","140.135","241.505","494.215","1.86574","34.1865","40.12","72.39","4.62565"
"0","94.9872","151.529","259.405","-0.06336","6.34429","9.72124","10.8044","3.61377","40.25","94.5025","116.735","13.0593","17.17","27.385","35.66","10.789"
"0","94.3543","144.015","247.765","-0.08915","6.41657","11.8102","14.2836","3.52442","41.1724","139.481","204.02","12.4216","17.168","30.05","38.41","10.2456"
"3","137.068","163.692","277.209","-0.0189","8.88883","11.4113","14.3964","1.21847","79.0113","130.217","207.255","1.48468","27.09","29.44","46.505","4.35535"
"2","113.759","156.572","276.515","-0.02454","9.74636","13.143","21.2558","1.40524","94.9916","172.738","451.81","1.97471","28.6885","36.23","70.715","5.1907"
"3","136.316","162.398","273.28","0.02593","9.60391","10.5377","15.1116","1.27219","92.235","111.043","228.36","1.61846","27.695","34.78","43.83","4.2271"
"0","97.0793","152.773","261.358","-0.00871","6.44457","11.3074","16.396","4.22518","41.5325","127.857","268.83","17.8522","19.307","31.73","44.745","13.636"
"1","101.553","151.268","268.719","0.00751","9.90527","11.6308","14.5334","1.5444","98.1144","135.275","211.22","2.38516","28.9215","35.47","40.09","4.09575"
"2","112.072","157.129","275.439","0.0094","11.0218","15.715","23.2335","1.33395","121.481","246.962","539.795","1.77941","30.598","42.255","80.485","4.62415"
"2","111.23","154.172","274.753","-0.0304","12.7903","16.2635","24.6389","1.47161","163.593","264.5","607.075","2.16563","37.0865","45.31","76.895","4.9769"
"2","111.073","159.287","280.14","-0.01199","10.5822","14.0099","22.7668","1.56345","111.983","196.277","518.325","2.44439","33.65","41.875","62.545","4.71575"
"2","112.387","157.365","277.685","0.01371","13.0412","15.0382","22.6683","1.34413","170.074","226.148","513.85","1.80669","44.028","46.755","61.32","4.13085"
"1","102.264","155.282","274.936","-0.04085","10.169","11.1809","15.3129","1.4843","103.408","125.012","234.485","2.20314","26.9355","32.8","46.275","4.49435"
"1","101.11","152.06","268.436","-0.02009","9.33026","10.9643","14.9052","1.46207","87.0537","120.215","222.165","2.13766","31.5115","31.045","46.655","4.6883"
"0","94.8252","149.438","258.279","0.07803","5.59168","9.08722","13.3763","3.75635","31.2669","82.5775","178.925","14.1101","16.788","25.86","35.43","11.678"
"0","95.6746","139.459","249.636","-0.05559","7.18721","10.2507","12.2055","3.80196","51.6559","105.077","148.975","14.4549","22.13","26.085","38.26","11.0856"
"0","93.6734","144.86","253.998","-0.02053","5.86915","9.58723","11.8429","3.91778","34.4469","91.915","140.255","15.349","17.168","26.165","33.83","11.933"
"2","111.581","152.748","270.591","-0.03706","10.2247","13.5746","20.592","1.49039","104.544","184.27","424.03","2.22126","26.6315","39.055","54.295","4.2561"
"3","139.738","173.532","281.734","0.00551","9.11746","9.14371","15.0896","1.19185","83.1281","83.6075","227.695","1.42051","26.555","24.945","52.765","3.2925"
"2","110.992","153.36","272.448","-0.02455","10.368","15.2492","21.9864","1.41034","107.495","232.538","483.4","1.98907","29.1505","39.435","61.32","4.1553"
"1","100.421","147.501","259.796","-0.00234","10.7237","11.617","15.4486","1.4713","114.997","134.955","238.66","2.16473","36.0145","37.375","52.23","4.28665"
"0","95.1511","145.718","251.99","0.08862","6.51532","10.2608","11.0551","3.86664","42.4494","105.285","122.215","14.9509","20.68","29.445","36.73","11.1405"
"2","111.44","153.293","273.269","0.00732","10.844","14.1734","22.589","1.53736","117.592","200.885","510.265","2.36347","29.377","43.555","70.1","5.1617"
"1","101.031","152.119","268.375","0.01176","10.3071","11.0424","14.0273","1.43861","106.236","121.935","196.765","2.06961","30.6765","33.56","39.785","4.4531"
"2","112.131","153.167","273.522","-0.02679","10.4377","13.3899","21.6456","1.47155","108.945","179.29","468.53","2.16546","28.995","36.615","65.365","3.9568"
"1","101.989","153.441","271.043","-0.01578","11.1659","10.5182","15.1544","1.58754","124.677","110.632","229.655","2.52028","33.957","29.82","42.765","4.7234"
"0","94.166","139.462","246.857","-0.01038","6.48503","9.53048","10.9115","3.61847","42.0556","90.83","119.06","13.0933","17.628","25.095","32.3","10.2225"
"3","138.949","170.376","276.887","-0.00734","9.85036","10.4765","15.0993","1.23596","97.0296","109.757","227.99","1.5276","27.395","27.005","52.765","3.63"
"0","94.1969","137.862","249.93","-0.05244","5.35665","9.54241","11.3472","3.89044","28.6938","91.0575","128.76","15.1355","12.516","34.555","30.24","9.3767"
"2","112.216","152.391","272.422","0.01316","11.1251","15.0022","21.3613","1.38541","123.769","225.065","456.305","1.91937","33.878","46.6065","58.035","3.8667"
"3","140.664","167.24","277.595","0.0013","8.67867","9.27416","15.1522","1.21058","75.3194","86.01","229.59","1.46551","26.02","25.705","51.085","3.2711"
"0","94.0012","137.451","242.548","0.05811","6.91005","10.142","11.2268","3.42363","47.7487","102.86","126.04","11.7213","21.8245","24.715","30.165","10.1798"
"3","138.069","176.107","288.439","-0.00486","9.81181","10.3406","15.9725","1.29705","96.2717","106.927","255.12","1.68234","29.91","33.105","50.63","3.9461"
"2","112.948","155.636","275.002","0.06379","10.8128","14.0748","20.7058","1.39043","116.917","198.1","428.73","1.9333","30.2915","45.31","66.355","4.03775"
"3","139.094","172.805","283.61","-0.08314","9.90442","12.1537","14.7626","1.26229","98.0975","147.712","217.935","1.59338","28.46","38.37","45.97","3.7155"
"0","93.4338","143.456","251.022","0.04368","5.99181","11.7207","14.2872","3.69013","35.9018","137.375","204.125","13.6171","17.853","32.725","43.6","11.3418"
"1","100.085","146.285","259.969","0.00346","10.6577","11.1589","15.7363","1.5882","113.587","124.52","247.63","2.52238","29.3785","30.665","49.18","4.36605"
"2","112.438","154.763","274.875","-0.00398","10.3548","14.3657","22.4281","1.46753","107.221","206.372","503.02","2.15364","28.2335","47.06","62.62","4.2103"
"2","113.199","153.445","270.289","0.00123","10.3952","14.057","21.5839","1.3467","108.06","197.6","465.865","1.8136","31.82","38.365","57.275","3.601"
"0","95.903","143.436","249.581","0.02864","7.35208","11.5161","10.189","3.46744","54.0531","132.62","103.815","12.0231","23.0415","30.355","30.77","10.577"
"2","112.06","154.284","274.249","0.02741","9.2429","13.4986","20.8807","1.39256","85.4311","182.212","436.005","1.93922","28.6885","38.215","62.62","5.1907"
"2","112.041","151.686","268.888","-0.06322","11.7763","13.9652","21.1879","1.48231","138.682","195.027","448.925","2.19726","31.9705","39.055","72.315","4.7845"
"0","96.6637","152.357","263.608","-0.03468","6.8291","11.1143","13.1242","3.96065","46.6366","123.527","172.245","15.6868","21.3675","31.275","45.89","10.276"
"3","140.293","171.185","282.379","0.00039","9.13816","11.925","15.2018","1.19789","83.506","142.205","231.095","1.43495","30.215","34.785","45.205","3.491"
